code,xcoord,ycoord,perc_poverty,metro,pop_density,gdp_percapita,perc_secondary_compelte,income_gini,lab_perc_of_totpob,street_density_km,intersection_density_km,regularity,bet_cen_Gini,clo_cen_Gini,inf_cen_Gini,country
4429,-99.24178,34.07946,.165,1,1.65496952681591,3.93754792833266,.869,.4251,.623,2.09068927304275,1.14417937010445,-.494597420704078,.71768902,.15456437,.14290969,2
454,-83.22145,31.76096,.304,1,3.29504619239321,3.30659302354042,.851,.4726,.497,2.80204632043531,1.98515517998486,-.464591439688716,.65594818,.17747432,.13219875,2
4496,-82.0375,37.26818,.265,1,2.89239284412475,3.75197058782275,.87,.4665,.401,3.85708426080839,2.57191340906448,-.899074350552404,.84075954,.10455333,.13584455,2
4729,-88.48885,43.75355,.085,2,4.00166343946665,3.80440064550585,.944,.4056,.683,3.15420499141972,2.53376841420924,-.577512776831346,.79694548,.16264514,.16555551,2
1632,-84.53289,37.63887,.182,1,3.34947477162306,2.52505452434044,.89,.4346,.593,2.64879908542292,1.68818883910931,-.832835820895522,.77471463,.12555783,.13712242,2
3093,-90.03867,30.85289,.263,1,3.29019611573223,3.17697031814388,.854,.4956,.494,3.12571197279512,2.05818735578672,-.60078607523863,.76396193,.0865119,.13982593,2
3060,-90.11116,29.74075,.163,2,6.34255009478418,3.89359470190427,.91,.4725,.645,7.16550522284015,16.1307860530594,-.339677891654466,.82758767,.10541235,.1137383,2
4567,-77.6554,38.18574,.08,2,4.81050701364863,3.46769338256052,.931,.3913,.681,3.96335209841342,4.38992544901665,-.702315325248071,.84771631,.13305173,.14690381,2
3151,-84.61068,44.33473,.198,1,2.88384815763403,3.10576091075851,.909,.4622,.604,2.32320673393987,1.9333328526304,-.63020030816641,.8274837,.10431801,.15526319,2
3016,-94.24235,41.02773,.138,1,2.43890433781985,3.79993703070838,.95,.4078,.677,2.40714453120249,1.29141121086749,-.290049400141143,.69377237,.13478224,.17364057,2
3538,-74.05278,42.81669,.124,2,5.67754361494166,3.86335356068183,.942,.4563,.568,5.45666942727622,8.02900098868435,-.568079564290789,.7421368,.14894607,.12603502,2
259,-73.24515,41.79375,.068,1,4.3584988318791,3.70425837840491,.945,.4485,.687,3.70332981358544,3.0789670177842,-.830577947807077,.79879007,.09962485,.15023519,2
393,-84.82732,29.83791,.201,1,2.12777400159485,3.33566918767103,.853,.4641,.484,.632848148120113,.735060799342395,-.383858267716535,.81468217,.09152267,.11306139,2
1987,-89.99091,34.87625,.098,2,4.91781433886687,3.27389830375566,.921,.3926,.697,4.2376029295028,5.05342202346845,-.68,.83954579,.12063053,.15888117,2
482,-85.07977,33.58138,.186,2,4.46713217046178,3.48565530912256,.878,.4609,.612,4.35185952365522,3.89366583742461,-.760782747603834,.80065992,.12051094,.15293989,2
2909,-86.48362,38.84113,.115,1,3.6732895503692,3.3355097888612,.91,.4082,.602,2.69541077178263,1.85843279322022,-.534043538675313,.75073819,.15556064,.1631652,2
2901,-85.43633,38.78576,.137,1,3.54804165113325,3.70679416414076,.906,.3947,.598,2.73933194007523,1.82435626025967,-.681738109219025,.76879086,.15169627,.16487171,2
4123,-85.16652,35.1767,.145,2,5.51259234002325,4.1255091859306,.917,.477,.628,6.59292978823175,9.13951680150675,-.685465526707977,.83614963,.1296646,.15350916,2
3843,-95.23175,36.30179,.192,1,3.18461356980204,3.66596048277284,.9,.4214,.563,2.82558492043554,1.87575089009972,-.52374960679459,.78847336,.11134201,.17878548,2
1007,-96.24542,37.14994,.143,1,.754845610579111,3.16856291080341,.908,.4587,.56,1.61888765387053,.723397111474681,-.505016722408027,.73903019,.11875099,.15815722,2
2370,-99.71344,42.87991,.077,1,-1.03535118683327,4.77086339662056,.969,.422,.743,.94285057569694,.160819595046857,-.478260869565217,.71384259,.11419251,.14998589,2
3094,-93.33122,32.70848,.249,2,3.27504297452366,3.32017492432952,.858,.4794,.516,2.96024530987793,2.47535425821684,-.749802475638662,.83072038,.11854289,.13378684,2
1100,-97.6477,38.39185,.076,1,2.53157852036962,3.96232141143834,.953,.3944,.682,2.62226459544787,1.28389716468849,-.204423592493298,.71238759,.13818427,.20155926,2
3730,-83.4562,39.56021,.177,1,3.30816021656816,4.26587998138202,.889,.4306,.597,2.21190615573563,1.14587770319548,-.46089850249584,.68976068,.18265823,.19509359,2
2755,-83.29405,34.55151,.181,1,4.0113627615737,3.48837365530558,.857,.4596,.559,4.29012882063341,3.8883927082095,-.735408560311284,.76528258,.13306802,.15309022,2
3624,-77.90352,34.52266,.158,2,3.1981962826585,2.93413278814992,.911,.4407,.441,1.98692424140738,1.3383657649275,-.764471057884232,.87029626,.08865229,.17237754,2
3569,-76.5412,34.89329,.125,1,3.95192568368267,3.34722216782573,.926,.4601,.594,2.52379386602332,3.02322536256515,-.672413793103448,.8733452,.12655424,.15409416,2
4754,-88.46565,44.41579,.086,2,4.69385850595588,3.97875114803151,.958,.41,.604,3.94238314121237,4.18127644263993,-.422339335382814,.78802361,.14675904,.16080356,2
3430,-72.25311,42.92016,.102,1,3.73192690854028,3.77586886096639,.946,.4445,.663,2.90199950688126,2.79252638119533,-.851764705882353,.81166412,.12967081,.11731617,2
2775,-83.73552,33.78018,.128,2,4.62686773834783,3.13307681811523,.886,.4213,.616,4.23578053746064,3.55657587362954,-.77710843373494,.78920692,.10176807,.15984729,2
2712,-83.56019,33.02512,.142,2,3.33814832458872,2.61329151946148,.899,.4518,.6,1.8429696484013,1.03893582477013,-.762039660056657,.70708636,.12712253,.17597341,2
2536,-90.848,34.43268,.33,1,2.42633385647893,3.16060107102314,.852,.5102,.597,2.26156448569076,1.25377934592232,-.567184035476718,.76831594,.12859706,.1564918,2
3932,-80.03302,41.99254,.168,2,4.90683493335617,3.6949145440182,.934,.4543,.621,4.09010260276786,4.04340437625502,-.401087613293051,.7676336,.16077555,.162449,2
4256,-106.23633,31.76981,.217,2,5.75847993696707,3.49311098264832,.907,.4618,.608,5.46976214453807,9.7290855970083,-.417845570220501,.84254094,.13540002,.14503947,2
